שם יישוב,סמל יישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2018,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
עין גב,273,EN GEV,2,22,221.0,6.0,,1.0,680.0,680.0,645.0,,1937,330,15.0,2601774320.0,-213.0,214.0,10004552.0,2018,En Gev,214.0
עין גדי,2042,EN GEDI,6,62,624.0,51.0,,1.0,603.0,589.0,552.0,14.0,1953,330,15.0,2365959563.0,-346.0,656.0,10001911.0,2018,En Gedi,
עין דור,436,EN DOR,2,23,233.0,9.0,,1.0,1026.0,1026.0,987.0,,1948,330,15.0,2393472920.0,111.0,254.0,10004394.0,2018,En Dor,213.0
עין הבשור,1240,EN HABESOR,6,62,622.0,38.0,,1.0,1156.0,1155.0,1118.0,1.0,1982,310,1.0,1468957689.0,100.0,651.0,10001893.0,2018,En HaBesor,620.0
עין הוד,74,EN HOD,3,32,322.0,15.0,243.0,1.0,632.0,630.0,596.0,2.0,1954,370,19.0,1987073396.0,66.0,303.0,10004333.0,2018,En Hod,
עין החורש,167,EN HAHORESH,4,41,411.0,16.0,141.0,1.0,827.0,827.0,813.0,,1931,330,15.0,1943869867.0,17.0,409.0,15000060.0,2018,En HaHoresh,
עין המפרץ,289,EN HAMIFRAZ,2,24,246.0,4.0,241.0,1.0,1238.0,1238.0,1203.0,,1938,330,15.0,2093675650.0,1.0,201.0,10004315.0,2018,En HaMifraz,212.0
"עין הנצי""ב",383,EN HANAZIV,2,23,231.0,7.0,,1.0,626.0,626.0,621.0,,1946,330,3.0,2473670851.0,-172.0,202.0,10004568.0,2018,En HaNaziv,214.0
עין העמק,367,EN HAEMEQ,2,23,236.0,13.0,,1.0,775.0,775.0,770.0,,1944,350,,2082272605.0,216.0,254.0,10004394.0,2018,En HaEmeq,213.0
עין השופט,270,EN HASHOFET,2,23,236.0,13.0,,1.0,833.0,832.0,726.0,1.0,1937,330,15.0,2096872240.0,240.0,254.0,10004394.0,2018,En HaShofet,213.0
עין השלושה,676,EN HASHELOSHA,6,62,622.0,38.0,,1.0,351.0,350.0,292.0,1.0,1950,330,6.0,1430658468.0,97.0,651.0,10001893.0,2018,En HaShelosha,620.0
עין ורד,157,EN WERED,4,41,411.0,18.0,141.0,1.0,1512.0,1511.0,1493.0,1.0,1930,310,1.0,1937568567.0,41.0,412.0,15000060.0,2018,En Wered,
עין זיוון,4503,EN ZIWAN,2,29,292.0,71.0,,1.0,348.0,348.0,325.0,,1968,330,15.0,2746877807.0,946.0,219.0,10004579.0,2018,En Ziwan,211.0
עין חוד,1320,EIN HOD,3,32,322.0,15.0,243.0,2.0,304.0,,,304.0,,450,,2002573302.0,195.0,303.0,10004333.0,2018,Ein Hod,
עין חצבה,1053,EN HAZEVA,6,62,625.0,51.0,,,,,,,,510,,2234252310.0,-142.0,656.0,10001918.0,2018,En Hazeva,
עין חרוד (איחוד),89,EN HAROD (IHUD),2,23,232.0,8.0,,1.0,556.0,556.0,545.0,,1921,330,15.0,2369971883.0,6.0,204.0,10004394.0,2018,En Harod (Ihud),213.0
עין חרוד (מאוחד),82,EN HAROD(ME'UHAD),2,23,232.0,8.0,,1.0,733.0,733.0,717.0,,1921,330,15.0,2370271825.0,-51.0,204.0,10004394.0,2018,En Harod(Me'uhad),213.0
עין יהב,806,EN YAHAV,6,62,625.0,54.0,,1.0,712.0,712.0,702.0,,1951,310,1.0,2226250753.0,-93.0,657.0,10001918.0,2018,En Yahav,610.0
עין יעקב,813,EN YA'AQOV,2,24,243.0,52.0,,1.0,1106.0,1103.0,1076.0,3.0,1950,310,1.0,2217976826.0,350.0,255.0,10004484.0,2018,En Ya'aqov,212.0
"עין כרם-בי""ס חקלאי",1056,EN KAREM-B.S.HAQLA'I,1,11,111.0,26.0,444.0,1.0,170.0,170.0,155.0,,1952,340,,2145863172.0,553.0,151.0,10002521.0,2018,En Karem-B.S.Haqla'i,
עין כרמל,426,EN KARMEL,3,32,321.0,15.0,243.0,1.0,915.0,915.0,897.0,,1947,330,15.0,1958473145.0,18.0,303.0,10004333.0,2018,En Karmel,
עין מאהל,532,EIN MAHEL,2,25,237.0,99.0,,2.0,13130.0,18.0,4.0,13112.0,,270,,2333773642.0,263.0,257.0,10004453.0,2018,Ein Mahel,213.0
עין נקובא,521,EIN NAQQUBA,1,11,111.0,26.0,444.0,2.0,3424.0,1.0,,3423.0,,290,,2114463339.0,580.0,151.0,10002475.0,2018,Ein Naqquba,
עין עירון,223,EN IRON,3,32,324.0,14.0,,1.0,561.0,561.0,559.0,,1934,310,1.0,2011170996.0,60.0,351.0,10004261.0,2018,En Iron,
עין צורים,622,EN ZURIM,6,61,611.0,34.0,,1.0,892.0,892.0,885.0,,1949,330,3.0,1735162269.0,50.0,631.0,10001821.0,2018,En Zurim,
עין קנייא,4502,EIN QINIYYE,2,29,291.0,99.0,,2.0,2063.0,,,2063.0,,290,,2685979361.0,569.0,256.0,10004579.0,2018,Ein Qiniyye,211.0
עין ראפה,514,EIN RAFA,1,11,111.0,26.0,444.0,2.0,1243.0,10.0,9.0,1233.0,,450,,2109863306.0,562.0,151.0,10002475.0,2018,Ein Rafa,
עין שמר,139,EN SHEMER,3,32,324.0,14.0,,1.0,553.0,553.0,535.0,,1927,330,15.0,2009070775.0,40.0,351.0,10004261.0,2018,En Shemer,
עין שריד,880,EN SARID,4,41,411.0,18.0,141.0,1.0,1603.0,1603.0,1589.0,,1950,350,,1941268670.0,60.0,412.0,15000060.0,2018,En Sarid,
עין תמר,1251,EN TAMAR,6,62,624.0,51.0,,1.0,190.0,190.0,184.0,,1982,310,10.0,2356653913.0,-360.0,656.0,10001911.0,2018,En Tamar,
עינת,871,ENAT,4,42,422.0,20.0,142.0,1.0,812.0,812.0,795.0,,1925,330,15.0,1943566550.0,42.0,417.0,10002168.0,2018,Enat,
עיר אובות,1187,IR OVOT,6,62,625.0,54.0,,,,,,,,510,,2233952439.0,-141.0,657.0,10001918.0,2018,Ir Ovot,610.0
עכו,7600,AKKO,2,24,246.0,0.0,241.0,4.0,48930.0,33393.0,29537.0,15537.0,1948,160,,2082275927.0,-2.0,213.0,10004315.0,2018,Akko,212.0
עלומים,1146,ALUMIM,6,62,622.0,39.0,,1.0,510.0,510.0,510.0,,1966,330,3.0,1537659579.0,90.0,651.0,10001930.0,2018,Alumim,620.0
עלי,3765,ELI,7,72,,73.0,,1.0,4311.0,4311.0,4283.0,,1984,190,,2253466435.0,550.0,711.0,10003299.0,2018,Eli,
עלי זהב,3727,ALE ZAHAV,7,73,,72.0,145.0,1.0,2739.0,2739.0,2722.0,,1982,190,,2062566427.0,289.0,710.0,10003262.0,2018,Ale Zahav,
עלמה,688,ALMA,2,21,212.0,2.0,,1.0,712.0,712.0,712.0,,1949,310,2.0,2470477293.0,640.0,209.0,10004528.0,2018,Alma,211.0
עלמון,3715,ALMON,7,74,,73.0,445.0,1.0,1378.0,1378.0,1342.0,,1982,370,11.0,2280763760.0,427.0,711.0,10003314.0,2018,Almon,
עמוקה,1212,AMUQQA,2,21,212.0,2.0,,1.0,135.0,135.0,132.0,,1980,370,19.0,2493976704.0,682.0,209.0,10004528.0,2018,Amuqqa,211.0
עמיחי,3824,AMMIHAY,7,74,,73.0,,1.0,198.0,198.0,198.0,,2018,370,,2311666140.0,725.0,711.0,10003299.0,2018,Ammihay,
עמינדב,779,AMMINADAV,1,11,111.0,26.0,444.0,1.0,1126.0,1126.0,1112.0,,1950,310,1.0,2135062877.0,796.0,151.0,10002521.0,2018,Amminadav,
עמיעד,385,AMMI'AD,2,21,213.0,1.0,,1.0,441.0,440.0,429.0,1.0,1946,330,15.0,2509375929.0,223.0,253.0,10004540.0,2018,Ammi'ad,211.0
עמיעוז,318,AMMI'OZ,6,62,622.0,38.0,,1.0,206.0,205.0,204.0,1.0,1957,310,1.0,1440657325.0,120.0,651.0,10001893.0,2018,Ammi'oz,620.0
עמיקם,773,AMMIQAM,3,32,323.0,45.0,,1.0,738.0,738.0,713.0,,1950,310,9.0,2022171878.0,70.0,351.0,10004333.0,2018,Ammiqam,
עמיר,319,AMIR,2,21,211.0,1.0,,1.0,592.0,589.0,561.0,3.0,1939,330,15.0,2582378705.0,75.0,253.0,10004591.0,2018,Amir,211.0
עמנואל,3660,IMMANU'EL,7,73,,99.0,145.0,1.0,3693.0,3693.0,3690.0,,1983,190,,2131767440.0,250.0,708.0,10003262.0,2018,Immanu'el,
"עמק בית שאן מ""א 7",1824,,2,23,231.0,7.0,,,,,,,,530,,2474070920.0,,,,2018,,214.0
"עמק בית שאן של""ש",1825,,2,23,231.0,,,,,,,,,530,,,,,,2018,,
"עמק חולה מ""א 1",1806,,2,21,211.0,1.0,,,,,,,,530,,2578078330.0,,,,2018,,211.0
"עמק חולה מ""א 55",1807,,2,21,211.0,55.0,,,,,,,,530,,2580077650.0,,,,2018,,211.0
"עמק חולה של""ש",1808,,2,21,211.0,,,,,,,,,530,,,,,,2018,,
"עמק חפר מזרח מ""א 16",1875,,4,41,411.0,16.0,,,,,,,,530,,2289073170.0,,,,2018,,
"עמק חרוד מ""א 8",1826,,2,23,232.0,8.0,,,,,,,,530,,2368071640.0,,,,2018,,213.0
"עמק חרוד של""ש",1827,,2,23,232.0,,,,,,,,,530,,,,,,2018,,
"עמק יזרעאל מ""א 13",1834,,2,23,234.0,13.0,,,,,,,,530,,2185072150.0,,,,2018,,213.0
"עמק יזרעאל מ""א 8",1832,,2,23,234.0,8.0,,,,,,,,530,,2268071730.0,,,,2018,,213.0
"עמק יזרעאל מ""א 9",1833,,2,23,234.0,9.0,,,,,,,,530,,2244072700.0,,,,2018,,213.0
עמקה,708,AMQA,2,24,245.0,4.0,,1.0,753.0,753.0,742.0,,1949,310,1.0,2154876490.0,59.0,201.0,10004302.0,2018,Amqa,212.0
ענב,3712,ENAV,7,73,,72.0,,1.0,859.0,859.0,857.0,,1981,370,11.0,2120668784.0,239.0,710.0,10003262.0,2018,Enav,
עספיא,534,ISIFYA,3,31,311.0,99.0,223.0,2.0,12354.0,183.0,111.0,12171.0,,270,,2063873586.0,359.0,356.0,10004171.0,2018,Isifya,
עפולה,7700,AFULA,2,23,234.0,0.0,,1.0,51737.0,51223.0,46291.0,514.0,1925,150,,2286172472.0,54.0,215.0,10004394.0,2018,Afula,213.0
עפרה,3617,OFRA,7,74,,73.0,445.0,1.0,3039.0,3039.0,3033.0,,1975,190,,2249765114.0,767.0,711.0,10003299.0,2018,Ofra,
עץ אפרים,3778,EZ EFRAYIM,7,73,,72.0,145.0,1.0,2292.0,2292.0,2226.0,,1985,190,,2046166960.0,148.0,710.0,10003262.0,2018,Ez Efrayim,
עצמון שגב,917,ATSMON SEGEV,2,24,241.0,56.0,241.0,1.0,1120.0,1115.0,1105.0,5.0,1953,370,13.0,2239175235.0,267.0,205.0,10004513.0,2018,Atsmon Segev,210.0
עראבה,531,ARRABE,2,24,241.0,0.0,,2.0,25369.0,41.0,,25328.0,,260,,2319775077.0,180.0,262.0,10004513.0,2018,Arrabe,
עראמשה*,1246,ARAMSHA,2,24,244.0,4.0,,2.0,1662.0,,,1662.0,,450,,2214477704.0,320.0,201.0,10004302.0,2018,Aramsha,212.0
ערב אל נעים,1335,ARAB AL NAIM,2,24,241.0,56.0,241.0,2.0,788.0,,,788.0,,450,,2274875480.0,249.0,205.0,10004513.0,2018,Arab Al Naim,210.0
ערד,2560,ARAD,6,62,623.0,0.0,,1.0,26451.0,25632.0,21427.0,819.0,1961,160,,2203657414.0,-32.0,610.0,10001911.0,2018,Arad,610.0
ערוגות,593,ARUGOT,6,61,611.0,33.0,143.0,1.0,1164.0,1164.0,1133.0,,1949,310,1.0,1785162692.0,60.0,616.0,10001821.0,2018,Arugot,420.0
ערערה,637,AR'ARA,3,32,323.0,99.0,,2.0,24904.0,44.0,13.0,24860.0,,260,,2086871174.0,90.0,354.0,10004233.0,2018,Ar'ara,
ערערה-בנגב,1192,AR'ARA-BANEGEV,6,62,623.0,99.0,,2.0,17640.0,7.0,1.0,17633.0,,270,,2021956302.0,410.0,652.0,15003711.0,2018,Ar'ara-BaNegev,610.0
עשרת,591,ASERET,4,44,441.0,32.0,143.0,1.0,998.0,998.0,986.0,,1954,350,,1761763696.0,49.0,456.0,15002488.0,2018,Aseret,
עתלית,53,ATLIT,3,32,321.0,15.0,223.0,1.0,8047.0,7977.0,7752.0,70.0,1904,180,,1948973295.0,4.0,303.0,10004710.0,2018,Atlit,
עתניאל,3748,OTNI'EL,7,77,,78.0,,1.0,1037.0,1037.0,1035.0,,1983,370,11.0,2027959416.0,677.0,715.0,15003512.0,2018,Otni'el,
פארן,1151,PARAN,6,62,625.0,54.0,,1.0,481.0,478.0,462.0,3.0,1972,310,1.0,2146947481.0,99.0,657.0,10001918.0,2018,Paran,610.0
"פארק הירדן מ""א 6",1961,,2,22,221.0,6.0,,,,,,,,530,,,,,,2018,,214.0
פארק תעשיות ספירים,1763,,6,61,614.0,37.0,,,,,,,,520,,1614560282.0,88.0,651.0,10001829.0,2018,,620.0
פדואל,3768,PEDU'EL,7,73,,72.0,145.0,1.0,1910.0,1910.0,1908.0,,1984,370,2.0,2050866319.0,328.0,710.0,10003262.0,2018,Pedu'el,
פדויים,750,PEDUYIM,6,62,622.0,42.0,344.0,1.0,497.0,497.0,486.0,,1950,310,1.0,1629858183.0,110.0,651.0,10001893.0,2018,Peduyim,620.0
פדיה,838,PEDAYA,4,43,432.0,30.0,143.0,1.0,818.0,818.0,816.0,,1951,310,1.0,1889964061.0,89.0,426.0,10002228.0,2018,Pedaya,
פוריידיס,537,FUREIDIS,3,32,321.0,99.0,,2.0,13085.0,16.0,7.0,13069.0,,270,,1957972265.0,10.0,353.0,10004333.0,2018,Fureidis,
פורייה - כפר עבודה,1104,PORIYYA-KEFAR AVODA,2,22,221.0,6.0,,1.0,375.0,375.0,359.0,,1949,350,,2515473616.0,-12.0,214.0,10004552.0,2018,Poriyya-Kefar Avoda,214.0
פורייה - נווה עובד,1105,PORIYYA-NEWE OVED,2,22,221.0,6.0,,1.0,1202.0,1189.0,1127.0,13.0,1949,350,,2506573889.0,104.0,214.0,10004552.0,2018,Poriyya-Newe Oved,214.0
פורייה עילית,1313,PORIYYA ILLIT,2,22,221.0,6.0,,1.0,1117.0,1070.0,960.0,47.0,1955,350,,2515473737.0,73.0,214.0,10004552.0,2018,Poriyya Illit,214.0
פורת,767,PORAT,4,41,411.0,18.0,141.0,1.0,1256.0,1256.0,1248.0,,1950,310,2.0,1955168698.0,44.0,412.0,15000060.0,2018,Porat,
פטיש,749,PATTISH,6,62,622.0,42.0,344.0,1.0,909.0,909.0,904.0,,1950,310,1.0,1581058190.0,85.0,651.0,10001893.0,2018,Pattish,620.0
פלך,1185,PELEKH,2,24,243.0,56.0,,1.0,139.0,139.0,134.0,,1980,330,15.0,2221775987.0,484.0,205.0,15002358.0,2018,Pelekh,210.0
פלמחים,597,PALMAHIM,4,44,442.0,27.0,143.0,1.0,659.0,659.0,638.0,,1949,330,15.0,1723664904.0,3.0,456.0,15002488.0,2018,Palmahim,
פני חבר,3723,PENE HEVER,7,77,,78.0,,1.0,586.0,586.0,586.0,,1982,370,11.0,2157559933.0,756.0,715.0,15003512.0,2018,Pene Hever,
פסגות,3659,PESAGOT,7,74,,73.0,445.0,1.0,1903.0,1903.0,1903.0,,1981,370,11.0,2213864510.0,762.0,711.0,10003299.0,2018,Pesagot,
פסוטה,535,FASSUTA,2,24,244.0,99.0,,2.0,3149.0,7.0,,3142.0,,290,,2292977259.0,438.0,258.0,10004484.0,2018,Fassuta,212.0
"פעמי תש""ז",2059,PA'AME TASHAZ,6,62,621.0,42.0,,1.0,558.0,558.0,556.0,,1953,310,1.0,1708459426.0,169.0,651.0,10001930.0,2018,Pa'ame Tashaz,620.0
פצאל,3615,PEZA'EL,7,75,,75.0,,1.0,283.0,283.0,283.0,,1975,310,1.0,2419266123.0,-252.0,712.0,10003262.0,2018,Peza'el,
פקיעין (בוקייעה),536,PEQI'IN (BUQEI'A),2,24,243.0,99.0,,2.0,5815.0,1.0,,5814.0,,280,,2313676484.0,469.0,258.0,10004484.0,2018,Peqi'in (Buqei'a),
פקיעין חדשה,281,PEQI'IN HADASHA,2,24,243.0,52.0,,1.0,547.0,520.0,511.0,27.0,1955,310,19.0,2305376539.0,500.0,255.0,10004484.0,2018,Peqi'in Hadasha,212.0
פרדס חנה-כרכור,7800,PARDES HANNA-KARKUR,3,32,324.0,99.0,,1.0,42083.0,42035.0,40787.0,48.0,1913,160,,1979570875.0,19.0,308.0,10004261.0,2018,Pardes Hanna-Karkur,
פרדסייה,171,PARDESIYYA,4,41,411.0,99.0,141.0,1.0,5830.0,5828.0,5763.0,2.0,1942,180,,1917869028.0,49.0,457.0,15000060.0,2018,Pardesiyya,
פרוד,599,PAROD,2,21,212.0,2.0,,1.0,566.0,565.0,549.0,1.0,1949,330,15.0,2407675967.0,372.0,209.0,10004528.0,2018,Parod,211.0
פרזון,2053,PERAZON,2,23,234.0,8.0,,1.0,326.0,326.0,323.0,,1953,310,1.0,2294471684.0,71.0,204.0,10004394.0,2018,Perazon,213.0
פרי גן,1231,PERI GAN,6,62,622.0,38.0,,1.0,242.0,242.0,241.0,,1981,310,6.0,1385557032.0,88.0,651.0,10001893.0,2018,Peri Gan,620.0
פתח תקווה,7900,PETAH TIQWA,4,42,422.0,0.0,132.0,1.0,244275.0,243936.0,224209.0,339.0,1878,130,,1894266579.0,10.0,410.0,10002116.0,2018,Petah Tiqwa,
פתחיה,839,PETAHYA,4,43,432.0,30.0,143.0,1.0,839.0,839.0,833.0,,1951,310,6.0,1892964165.0,89.0,426.0,10002228.0,2018,Petahya,
צאלים,413,ZE'ELIM,6,62,622.0,38.0,,1.0,464.0,464.0,424.0,,1947,330,15.0,1555756821.0,140.0,651.0,10001893.0,2018,Ze'elim,620.0
צביה,1180,ZVIYYA,2,24,242.0,56.0,,1.0,327.0,327.0,322.0,,1979,370,19.0,2313575499.0,226.0,205.0,10004513.0,2018,Zviyya,210.0
צבעון,1213,ZIV'ON,2,24,244.0,1.0,,1.0,245.0,245.0,222.0,,1980,330,15.0,2392477007.0,731.0,253.0,10004528.0,2018,Ziv'on,211.0
צובה,465,ZOVA,1,11,111.0,26.0,444.0,1.0,636.0,636.0,614.0,,1948,330,15.0,2114063231.0,694.0,151.0,15000597.0,2018,Zova,
צוחר,1136,ZOHAR,6,62,622.0,38.0,,1.0,454.0,453.0,432.0,1.0,1973,350,,1452657190.0,130.0,651.0,10001893.0,2018,Zohar,620.0
צופייה,1111,ZOFIYYA,4,44,441.0,29.0,143.0,,,,,,,510,,1753964049.0,31.0,456.0,15002488.0,2018,Zofiyya,420.0
צופים,3791,ZUFIM,7,73,,72.0,145.0,1.0,2369.0,2358.0,2292.0,11.0,1989,190,,2010167832.0,126.0,710.0,10003262.0,2018,Zufim,
צופית,198,ZOFIT,4,42,421.0,20.0,141.0,1.0,1271.0,1271.0,1255.0,,1933,310,1.0,1926967776.0,50.0,417.0,10002133.0,2018,Zofit,
צופר,1150,ZOFAR,6,62,625.0,54.0,,1.0,440.0,439.0,427.0,1.0,1970,310,1.0,2171749669.0,-16.0,657.0,10001918.0,2018,Zofar,610.0
צוקי ים,1102,ZUQI YAM,4,41,411.0,16.0,141.0,1.0,264.0,264.0,264.0,,1956,350,,1869369644.0,26.0,409.0,10002089.0,2018,Zuqi Yam,
צוקים,1262,ZUQIM,6,62,625.0,54.0,,1.0,323.0,323.0,314.0,,1983,370,,2157948903.0,28.0,657.0,10001918.0,2018,Zuqim,610.0
צור הדסה,1113,ZUR HADASSA,1,11,111.0,26.0,444.0,1.0,9583.0,9561.0,9068.0,22.0,1960,180,,2091262495.0,657.0,151.0,15000597.0,2018,Zur Hadassa,
צור יצחק,1345,ZUR YIZHAQ,4,42,421.0,20.0,141.0,1.0,6044.0,6031.0,5836.0,13.0,2007,180,,2001068308.0,81.0,417.0,10002155.0,2018,Zur Yizhaq,
צור משה,276,ZUR MOSHE,4,41,411.0,18.0,141.0,1.0,3343.0,3336.0,3293.0,7.0,1937,190,,1920868938.0,40.0,412.0,15000060.0,2018,Zur Moshe,
צור נתן,1148,ZUR NATAN,4,42,421.0,20.0,141.0,1.0,318.0,318.0,315.0,,1970,320,9.0,2014368303.0,160.0,417.0,10002155.0,2018,Zur Natan,
צוריאל,774,ZURI'EL,2,24,243.0,52.0,,1.0,335.0,332.0,327.0,3.0,1950,310,1.0,2296776797.0,597.0,255.0,10004484.0,2018,Zuri'el,212.0
צורית,1221,ZURIT,2,24,242.0,56.0,241.0,1.0,907.0,906.0,888.0,1.0,1981,370,9.0,2239675642.0,257.0,205.0,10004465.0,2018,Zurit,210.0
ציפורי,613,ZIPPORI,2,23,237.0,9.0,,1.0,970.0,851.0,835.0,119.0,1949,310,1.0,2263973898.0,181.0,254.0,15002369.0,2018,Zippori,213.0
צלפון,796,ZELAFON,1,11,112.0,26.0,,1.0,1016.0,1016.0,1010.0,,1950,310,1.0,1935863467.0,142.0,151.0,15000597.0,2018,Zelafon,
צנדלה,636,SANDALA,2,23,232.0,8.0,,2.0,1609.0,1.0,1.0,1608.0,,450,,2306371428.0,90.0,204.0,10004394.0,2018,Sandala,213.0
צפרייה,594,ZAFRIYYA,4,43,432.0,40.0,133.0,1.0,956.0,956.0,956.0,,1949,310,2.0,1865065672.0,26.0,425.0,10002207.0,2018,Zafriyya,
צפרירים,1079,ZAFRIRIM,1,11,112.0,26.0,444.0,1.0,392.0,392.0,385.0,,1958,310,1.0,1947461865.0,307.0,151.0,15000597.0,2018,Zafririm,
צפת,8000,ZEFAT,2,21,212.0,0.0,,1.0,35715.0,34895.0,32971.0,820.0,ותיק,160,,2475776332.0,176.0,216.0,10004528.0,2018,Zefat,211.0
צרופה,612,ZERUFA,3,32,321.0,15.0,243.0,1.0,1106.0,1105.0,1084.0,1.0,1949,310,1.0,1954072827.0,15.0,303.0,10004333.0,2018,Zerufa,
צרעה,567,ZOR'A,1,11,112.0,26.0,444.0,1.0,919.0,919.0,903.0,,1948,330,15.0,1971663005.0,180.0,151.0,15000597.0,2018,Zor'a,
קבועה (שבט),1234,QABBO'A,6,62,623.0,,,3.0,,,,,,460,,2160057200.0,0.0,699.0,10001911.0,2018,Kabbu'a,
קבוצת יבנה,334,QEVUZAT YAVNE,4,44,441.0,29.0,143.0,1.0,976.0,976.0,976.0,,1941,330,3.0,1735563595.0,40.0,456.0,10001821.0,2018,Qevuzat Yavne,420.0
קדומים,3557,QEDUMIM,7,73,,99.0,145.0,1.0,4596.0,4596.0,4576.0,,1977,190,,2152868054.0,345.0,710.0,10003262.0,2018,Qedumim,
קדימה-צורן,195,QADIMA-ZORAN,4,41,411.0,99.0,141.0,1.0,22490.0,22466.0,22056.0,24.0,1933,160,,1926468743.0,30.0,457.0,15000060.0,2018,Qadima- Zoran,410.0
קדמה,392,QEDMA,6,61,611.0,35.0,,,,,,,,510,,1787462323.0,98.0,632.0,10001821.0,2018,Qedma,420.0
קדמת צבי,4025,QIDMAT ZEVI,2,29,293.0,71.0,,1.0,452.0,452.0,429.0,,1985,310,7.0,2655777064.0,447.0,219.0,10004579.0,2018,Qidmat Zevi,211.0
קדר,3781,QEDAR,7,76,,76.0,445.0,1.0,1565.0,1565.0,1548.0,,1985,370,9.0,2294162889.0,410.0,714.0,10003314.0,2018,Qedar,
קדרון,615,QIDRON,4,44,441.0,28.0,143.0,1.0,1619.0,1619.0,1602.0,,1949,310,1.0,1807863592.0,39.0,456.0,15002488.0,2018,Qidron,420.0
קדרים,1211,QADDARIM,2,21,214.0,1.0,,1.0,252.0,252.0,250.0,,1980,330,15.0,2447075593.0,53.0,253.0,10004552.0,2018,Qaddarim,211.0
קודייראת א-צאנע (שבט),964,QUDEIRAT AS-SANI,6,62,623.0,,,3.0,,,,,,460,,2110057800.0,,699.0,10001937.0,2018,Kudayrat as-Sani',
קוואעין (שבט),972,QAWA'IN,6,62,623.0,,,3.0,,,,,,460,,2020058100.0,,699.0,10001937.0,2018,Kawa'in,
קוממיות,766,QOMEMIYYUT,6,61,611.0,34.0,,1.0,542.0,542.0,542.0,,1950,310,19.0,1745361889.0,60.0,631.0,10001813.0,2018,Qomemiyyut,
קורנית,1179,QORANIT,2,24,241.0,56.0,241.0,1.0,925.0,925.0,916.0,,1982,370,10.0,2239274992.0,381.0,205.0,10004513.0,2018,Qoranit,210.0
קטורה,1052,QETURA,6,62,625.0,53.0,,1.0,470.0,469.0,429.0,1.0,1970,330,15.0,2056243123.0,105.0,608.0,10001955.0,2018,Qetura,
קיסריה,1167,QESARYYA,3,32,324.0,15.0,,1.0,5170.0,5149.0,4984.0,21.0,1977,180,,1916171254.0,5.0,303.0,10004261.0,2018,Qesaryya,
קלחים,414,QELAHIM,6,62,621.0,42.0,,1.0,631.0,630.0,626.0,1.0,1954,310,10.0,1694059538.0,160.0,651.0,10001930.0,2018,Qelahim,620.0
קליה,3601,QALYA,7,75,,74.0,,1.0,416.0,416.0,407.0,,1968,330,15.0,2443462865.0,-383.0,713.0,10003314.0,2018,Qalya,
קלנסווה,638,QALANSAWE,4,41,412.0,0.0,141.0,2.0,22788.0,48.0,28.0,22740.0,,260,,1980468829.0,35.0,458.0,10002155.0,2018,Qalansawe,410.0
קלע,4024,QELA,2,29,292.0,71.0,,1.0,298.0,298.0,276.0,,1984,370,9.0,2648178199.0,601.0,219.0,10004579.0,2018,Qela,211.0
קציר,1243,QAZIR,3,32,323.0,14.0,,1.0,2878.0,2835.0,2624.0,43.0,1982,190,,2099971023.0,194.0,351.0,10004233.0,2018,Qazir,
קצר א-סר,1347,QASR A-SIR,6,62,623.0,68.0,,2.0,2302.0,,,2302.0,,290,,1982455466.0,500.0,624.0,10001918.0,2018,Qasr A-Sir,610.0
קצרין,4100,QAZRIN,2,29,293.0,99.0,,1.0,7132.0,7053.0,5791.0,79.0,1977,180,,2646576650.0,247.0,220.0,10004579.0,2018,Qazrin,211.0
קריית אונו,2620,QIRYAT ONO,5,52,512.0,0.0,122.0,1.0,39986.0,39949.0,38968.0,37.0,1939,160,,1866466309.0,37.0,508.0,10001516.0,2018,Qiryat Ono,
קריית ארבע,3611,QIRYAT ARBA,7,77,,99.0,,1.0,7323.0,7322.0,7166.0,1.0,1972,180,,2112660481.0,787.0,709.0,15003512.0,2018,Qiryat Arba,
קריית אתא,6800,QIRYAT ATTA,3,31,311.0,0.0,222.0,1.0,58267.0,58154.0,53785.0,113.0,1925,150,,2104674551.0,1.0,305.0,10004207.0,2018,Qiryat Atta,310.0
קריית ביאליק,9500,QIRYAT BIALIK,3,31,311.0,0.0,221.0,1.0,39927.0,39883.0,36404.0,44.0,1934,160,,2087274931.0,7.0,352.0,10004207.0,2018,Qiryat Bialik,310.0
קריית גת,2630,QIRYAT GAT,6,61,612.0,0.0,,1.0,54973.0,54917.0,51569.0,56.0,1954,150,,1777861298.0,90.0,606.0,10001813.0,2018,Qiryat Gat,
קריית חינוך מרחבים*,1768,,6,62,622.0,42.0,,,,,,,,520,,1617958047.0,122.0,651.0,10001893.0,2018,,620.0
קריית טבעון,2300,QIRYAT TIV'ON,3,31,311.0,99.0,222.0,1.0,18121.0,18028.0,17583.0,93.0,1937,170,,2121573567.0,10.0,306.0,10004207.0,2018,Qiryat Tiv'on,
קריית ים,9600,QIRYAT YAM,3,31,311.0,0.0,221.0,1.0,39909.0,39829.0,33767.0,80.0,1941,160,,2070575044.0,0.0,352.0,10004207.0,2018,Qiryat Yam,310.0
