סמל יישוב,יישוב מחושב,תאור קבוצה סטטיסטית,שנת הודעה,Total,2019,2018,2017,2016,2015,2014
6500.0,חדרה,עבירות נגד אדם,,30,6,8,3,4,8,1
6500.0,חדרה,עבירות נגד גוף,,4586,857,803,726,717,747,736
6500.0,חדרה,עבירות סדר ציבורי,,8739,1521,1504,1405,1301,1441,1567
6500.0,חדרה,עבירות רשוי,,68,9,3,11,9,17,19
6500.0,חדרה,עבירות תנועה,,38,1,5,4,10,9,9
6500.0,חדרה,שאר עבירות,,3,-,-,-,-,2,1
6600.0,חולון,Total,,37349,5445,5830,5820,6426,6883,6945
6600.0,חולון,-,,21,9,4,2,2,-,4
6600.0,חולון,סעיפי הגדרה,,23,4,1,4,6,3,5
6600.0,חולון,עבירות בטחון,,141,27,20,24,27,20,23
6600.0,חולון,עבירות כלכליות,,83,11,7,7,14,22,22
6600.0,חולון,עבירות כלפי המוסר,,2049,362,478,361,318,274,256
6600.0,חולון,עבירות כלפי הרכוש,,18509,2667,2683,2827,3314,3434,3584
6600.0,חולון,עבירות מין,,742,104,135,133,107,148,115
6600.0,חולון,עבירות מנהליות,,4,1,2,-,1,-,-
6600.0,חולון,עבירות מרמה,,2457,487,521,261,359,418,411
6600.0,חולון,עבירות נגד אדם,,46,9,11,5,4,8,9
6600.0,חולון,עבירות נגד גוף,,7283,1084,1103,1158,1259,1385,1294
6600.0,חולון,עבירות סדר ציבורי,,13125,1837,1991,2142,2146,2517,2492
6600.0,חולון,עבירות רשוי,,45,8,12,6,13,2,4
6600.0,חולון,עבירות תנועה,,78,14,13,10,12,20,9
6600.0,חולון,שאר עבירות,,13,-,-,1,3,5,4
1303.0,חורה,Total,,2657,473,575,509,369,359,372
1303.0,חורה,-,,6,2,-,-,2,2,-
1303.0,חורה,סעיפי הגדרה,,4,1,1,1,1,-,-
1303.0,חורה,עבירות בטחון,,254,37,43,52,37,40,45
1303.0,חורה,עבירות כלכליות,,8,1,3,1,1,-,2
1303.0,חורה,עבירות כלפי המוסר,,76,14,27,19,9,6,1
1303.0,חורה,עבירות כלפי הרכוש,,730,110,147,123,124,122,104
1303.0,חורה,עבירות מין,,16,2,4,4,3,2,1
1303.0,חורה,עבירות מרמה,,73,26,12,8,4,12,11
1303.0,חורה,עבירות נגד אדם,,22,2,3,5,4,6,2
1303.0,חורה,עבירות נגד גוף,,667,135,131,97,117,108,79
1303.0,חורה,עבירות סדר ציבורי,,1483,260,333,302,196,170,222
1303.0,חורה,עבירות רשוי,,18,4,3,2,-,2,7
1303.0,חורה,עבירות תנועה,,24,2,2,8,6,4,2
1303.0,חורה,שאר עבירות,,2,-,-,1,1,-,-
496.0,חורפיש,Total,,452,105,66,89,75,67,50
496.0,חורפיש,עבירות בטחון,,8,3,1,1,-,1,2
496.0,חורפיש,עבירות כלכליות,,1,-,-,1,-,-,-
496.0,חורפיש,עבירות כלפי המוסר,,35,4,5,2,6,15,3
496.0,חורפיש,עבירות כלפי הרכוש,,123,26,25,25,20,13,14
496.0,חורפיש,עבירות מין,,5,2,-,2,1,-,-
496.0,חורפיש,עבירות מרמה,,14,4,-,3,3,-,4
496.0,חורפיש,עבירות נגד אדם,,2,-,-,1,-,1,-
496.0,חורפיש,עבירות נגד גוף,,126,30,17,28,27,13,11
496.0,חורפיש,עבירות סדר ציבורי,,224,47,34,52,34,35,22
496.0,חורפיש,עבירות רשוי,,12,1,6,1,3,-,1
496.0,חורפיש,עבירות תנועה,,3,1,-,1,-,1,-
496.0,חורפיש,שאר עבירות,,5,-,1,-,1,-,3
4000.0,חיפה,Total,,85937,12037,13451,14347,13606,15930,16566
4000.0,חיפה,-,,76,16,28,14,11,5,2
4000.0,חיפה,סעיפי הגדרה,,17,2,4,5,-,5,1
4000.0,חיפה,עבירות בטחון,,436,68,58,84,61,75,90
4000.0,חיפה,עבירות כלכליות,,302,76,66,25,25,82,28
4000.0,חיפה,עבירות כלפי המוסר,,8487,1357,1743,1614,1388,1318,1067
4000.0,חיפה,עבירות כלפי הרכוש,,38606,5296,5915,6595,6139,6973,7688
4000.0,חיפה,עבירות מין,,1198,222,177,175,211,204,209
4000.0,חיפה,עבירות מנהליות,,9,1,3,2,2,-,1
4000.0,חיפה,עבירות מרמה,,6165,698,762,801,786,1550,1568
4000.0,חיפה,עבירות נגד אדם,,100,22,12,21,17,16,12
4000.0,חיפה,עבירות נגד גוף,,14698,2247,2367,2355,2467,2620,2642
4000.0,חיפה,עבירות סדר ציבורי,,28980,4047,4612,4704,4522,5388,5707
4000.0,חיפה,עבירות רשוי,,168,24,15,24,33,48,24
4000.0,חיפה,עבירות תנועה,,193,31,25,59,32,30,16
4000.0,חיפה,שאר עבירות,,35,2,5,9,4,6,9
2034.0,חצור הגלילית,Total,,1914,293,278,339,332,313,359
2034.0,חצור הגלילית,-,,1,-,-,1,-,-,-
2034.0,חצור הגלילית,סעיפי הגדרה,,1,-,-,-,-,1,-
2034.0,חצור הגלילית,עבירות בטחון,,20,5,3,3,1,3,5
2034.0,חצור הגלילית,עבירות כלכליות,,11,2,4,1,2,-,2
2034.0,חצור הגלילית,עבירות כלפי המוסר,,343,69,71,55,61,33,54
2034.0,חצור הגלילית,עבירות כלפי הרכוש,,696,89,104,115,141,124,123
2034.0,חצור הגלילית,עבירות מין,,46,12,6,4,13,6,5
2034.0,חצור הגלילית,עבירות מנהליות,,1,1,-,-,-,-,-
2034.0,חצור הגלילית,עבירות מרמה,,113,13,14,7,13,21,45
2034.0,חצור הגלילית,עבירות נגד אדם,,4,-,2,-,1,1,-
2034.0,חצור הגלילית,עבירות נגד גוף,,324,44,38,57,49,70,66
2034.0,חצור הגלילית,עבירות סדר ציבורי,,747,112,91,159,119,123,143
2034.0,חצור הגלילית,עבירות רשוי,,31,6,4,1,1,11,8
2034.0,חצור הגלילית,עבירות תנועה,,19,1,4,2,4,6,2
2034.0,חצור הגלילית,שאר עבירות,,1,-,-,-,-,-,1
1247.0,חריש,Total,,1173,395,386,146,111,68,67
1247.0,חריש,-,,3,1,2,-,-,-,-
1247.0,חריש,סעיפי הגדרה,,1,-,-,-,-,1,-
1247.0,חריש,עבירות בטחון,,24,4,2,1,4,10,3
1247.0,חריש,עבירות כלכליות,,1,-,1,-,-,-,-
1247.0,חריש,עבירות כלפי המוסר,,88,35,33,11,6,3,-
1247.0,חריש,עבירות כלפי הרכוש,,356,123,97,54,39,20,23
1247.0,חריש,עבירות מין,,16,5,5,3,2,-,1
1247.0,חריש,עבירות מרמה,,16,6,7,1,1,1,-
1247.0,חריש,עבירות נגד אדם,,5,2,3,-,-,-,-
1247.0,חריש,עבירות נגד גוף,,200,78,60,24,14,13,11
1247.0,חריש,עבירות סדר ציבורי,,632,196,216,70,66,39,45
1247.0,חריש,עבירות רשוי,,11,-,9,-,1,-,1
1247.0,חריש,עבירות תנועה,,38,6,12,2,8,9,1
6700.0,טבריה,Total,,15166,2186,2500,2691,2607,2410,2772
6700.0,טבריה,-,,24,8,-,5,8,1,2
6700.0,טבריה,סעיפי הגדרה,,9,-,2,-,1,6,-
6700.0,טבריה,עבירות בטחון,,134,29,20,21,22,17,25
6700.0,טבריה,עבירות כלכליות,,41,6,4,5,7,7,12
6700.0,טבריה,עבירות כלפי המוסר,,3143,344,528,697,611,458,505
6700.0,טבריה,עבירות כלפי הרכוש,,5428,793,864,881,956,879,1055
6700.0,טבריה,עבירות מין,,410,76,63,96,38,64,73
6700.0,טבריה,עבירות מנהליות,,3,1,1,-,-,-,1
6700.0,טבריה,עבירות מרמה,,527,76,85,82,91,89,104
6700.0,טבריה,עבירות נגד אדם,,37,3,8,5,5,2,14
6700.0,טבריה,עבירות נגד גוף,,2965,492,516,495,453,466,543
6700.0,טבריה,עבירות סדר ציבורי,,5347,846,946,893,903,802,957
6700.0,טבריה,עבירות רשוי,,98,3,12,14,26,23,20
6700.0,טבריה,עבירות תנועה,,78,7,9,17,15,19,11
6700.0,טבריה,שאר עבירות,,10,-,1,1,-,5,3
962.0,טובא זנגריה,Total,,2427,415,368,431,449,389,375
962.0,טובא זנגריה,-,,2,-,-,2,-,-,-
962.0,טובא זנגריה,סעיפי הגדרה,,6,1,1,2,-,-,2
962.0,טובא זנגריה,עבירות בטחון,,367,76,78,46,79,44,44
962.0,טובא זנגריה,עבירות כלכליות,,4,1,-,1,1,1,-
962.0,טובא זנגריה,עבירות כלפי המוסר,,244,37,51,38,46,34,38
962.0,טובא זנגריה,עבירות כלפי הרכוש,,802,126,101,157,156,136,126
962.0,טובא זנגריה,עבירות מין,,12,2,-,1,1,8,-
962.0,טובא זנגריה,עבירות מנהליות,,1,-,1,-,-,-,-
962.0,טובא זנגריה,עבירות מרמה,,34,8,3,7,5,6,5
962.0,טובא זנגריה,עבירות נגד אדם,,22,4,-,2,7,4,5
962.0,טובא זנגריה,עבירות נגד גוף,,551,85,61,93,114,96,102
962.0,טובא זנגריה,עבירות סדר ציבורי,,1295,236,173,218,244,215,209
962.0,טובא זנגריה,עבירות רשוי,,18,1,-,2,4,5,6
962.0,טובא זנגריה,עבירות תנועה,,46,8,8,6,8,12,4
962.0,טובא זנגריה,שאר עבירות,,1,1,-,-,-,-,-
498.0,טורעאן,Total,,2660,673,532,352,369,424,310
498.0,טורעאן,-,,1,1,-,-,-,-,-
498.0,טורעאן,סעיפי הגדרה,,3,-,-,2,-,-,1
498.0,טורעאן,עבירות בטחון,,138,40,18,18,17,25,20
498.0,טורעאן,עבירות כלכליות,,10,8,-,-,1,1,-
498.0,טורעאן,עבירות כלפי המוסר,,317,60,85,48,37,64,23
498.0,טורעאן,עבירות כלפי הרכוש,,739,191,137,101,98,120,92
498.0,טורעאן,עבירות מין,,16,4,-,5,4,1,2
498.0,טורעאן,עבירות מרמה,,70,10,15,16,14,10,5
498.0,טורעאן,עבירות נגד אדם,,9,3,2,3,-,1,-
498.0,טורעאן,עבירות נגד גוף,,725,173,149,90,98,112,103
498.0,טורעאן,עבירות סדר ציבורי,,1158,328,209,135,169,177,140
498.0,טורעאן,עבירות רשוי,,9,-,1,-,2,4,2
498.0,טורעאן,עבירות תנועה,,21,3,4,4,5,4,1
2730.0,טייבה,Total,,9779,1539,1786,1798,1551,1608,1497
2730.0,טייבה,-,,4,1,-,-,2,-,1
2730.0,טייבה,סעיפי הגדרה,,10,-,2,2,-,2,4
2730.0,טייבה,עבירות בטחון,,578,87,54,73,93,148,123
2730.0,טייבה,עבירות כלכליות,,21,10,1,3,1,3,3
2730.0,טייבה,עבירות כלפי המוסר,,1241,214,300,276,184,134,133
2730.0,טייבה,עבירות כלפי הרכוש,,2649,403,412,430,402,484,518
2730.0,טייבה,עבירות מין,,48,6,6,7,11,9,9
2730.0,טייבה,עבירות מנהליות,,3,-,1,2,-,-,-
2730.0,טייבה,עבירות מרמה,,341,50,60,51,62,60,58
2730.0,טייבה,עבירות נגד אדם,,46,10,6,7,6,10,7
2730.0,טייבה,עבירות נגד גוף,,1924,284,335,324,334,317,330
2730.0,טייבה,עבירות סדר ציבורי,,5322,836,1012,1025,862,890,697
2730.0,טייבה,עבירות רשוי,,33,9,3,5,10,2,4
2730.0,טייבה,עבירות תנועה,,171,25,33,46,15,27,25
2730.0,טייבה,שאר עבירות,,9,-,1,1,3,-,4
2720.0,טירה,Total,,7752,1197,1316,1332,1393,1221,1293
2720.0,טירה,-,,7,2,-,2,-,1,2
2720.0,טירה,סעיפי הגדרה,,14,1,1,1,3,2,6
2720.0,טירה,עבירות בטחון,,507,41,27,63,196,63,117
2720.0,טירה,עבירות כלכליות,,34,6,11,2,3,6,6
2720.0,טירה,עבירות כלפי המוסר,,609,116,126,110,83,65,109
2720.0,טירה,עבירות כלפי הרכוש,,2357,346,384,342,402,422,461
2720.0,טירה,עבירות מין,,40,14,3,6,6,4,7
2720.0,טירה,עבירות מרמה,,287,29,50,54,51,49,54
2720.0,טירה,עבירות נגד אדם,,45,9,10,6,2,9,9
2720.0,טירה,עבירות נגד גוף,,1490,253,200,262,278,253,244
2720.0,טירה,עבירות סדר ציבורי,,4448,687,804,768,797,670,722
2720.0,טירה,עבירות רשוי,,33,8,7,5,3,5,5
2720.0,טירה,עבירות תנועה,,63,5,9,13,14,14,8
2100.0,טירת כרמל,Total,,5785,716,997,1051,879,913,1229
2100.0,טירת כרמל,-,,8,4,2,-,1,1,-
2100.0,טירת כרמל,סעיפי הגדרה,,1,1,-,-,-,-,-
2100.0,טירת כרמל,עבירות בטחון,,44,13,7,4,5,5,10
2100.0,טירת כרמל,עבירות כלכליות,,21,3,4,5,1,-,8
2100.0,טירת כרמל,עבירות כלפי המוסר,,908,101,223,178,112,120,174
2100.0,טירת כרמל,עבירות כלפי הרכוש,,1800,190,253,365,323,345,324
2100.0,טירת כרמל,עבירות מין,,119,13,32,23,14,14,23
2100.0,טירת כרמל,עבירות מנהליות,,2,-,1,-,1,-,-
2100.0,טירת כרמל,עבירות מרמה,,411,26,44,27,27,30,257
2100.0,טירת כרמל,עבירות נגד אדם,,16,2,2,4,3,2,3
2100.0,טירת כרמל,עבירות נגד גוף,,1155,169,230,200,189,191,176
2100.0,טירת כרמל,עבירות סדר ציבורי,,2393,338,429,426,388,383,429
2100.0,טירת כרמל,עבירות רשוי,,14,2,3,2,4,2,1
2100.0,טירת כרמל,עבירות תנועה,,20,1,2,5,3,1,8
2100.0,טירת כרמל,שאר עבירות,,1,-,1,-,-,-,-
8900.0,טמרה,Total,,8055,1491,1452,1510,1441,1206,955
8900.0,טמרה,-,,5,1,1,1,-,-,2
8900.0,טמרה,סעיפי הגדרה,,6,-,1,1,2,1,1
8900.0,טמרה,עבירות בטחון,,353,96,35,64,58,55,45
8900.0,טמרה,עבירות כלכליות,,12,3,3,1,3,2,-
8900.0,טמרה,עבירות כלפי המוסר,,1124,174,296,218,191,102,143
8900.0,טמרה,עבירות כלפי הרכוש,,2155,413,381,395,304,375,287
8900.0,טמרה,עבירות מין,,50,8,7,12,10,8,5
8900.0,טמרה,עבירות מנהליות,,1,-,1,-,-,-,-
8900.0,טמרה,עבירות מרמה,,419,31,39,95,183,37,34
8900.0,טמרה,עבירות נגד אדם,,27,11,4,2,2,7,1
8900.0,טמרה,עבירות נגד גוף,,1745,309,296,322,309,272,237
8900.0,טמרה,עבירות סדר ציבורי,,4010,858,749,743,642,617,401
8900.0,טמרה,עבירות רשוי,,57,15,5,7,15,4,11
8900.0,טמרה,עבירות תנועה,,50,10,5,9,18,5,3
8900.0,טמרה,שאר עבירות,,1,-,1,-,-,-,-
1295.0,יאנוח ג'ת,Total,,411,69,69,52,69,82,70
1295.0,יאנוח ג'ת,-,,1,-,-,-,-,1,-
1295.0,יאנוח ג'ת,עבירות בטחון,,8,3,1,-,-,1,3
1295.0,יאנוח ג'ת,עבירות כלפי המוסר,,26,2,-,2,5,13,4
1295.0,יאנוח ג'ת,עבירות כלפי הרכוש,,114,17,23,16,24,15,19
1295.0,יאנוח ג'ת,עבירות מין,,6,1,-,-,1,1,3
1295.0,יאנוח ג'ת,עבירות מרמה,,17,4,1,2,3,3,4
1295.0,יאנוח ג'ת,עבירות נגד אדם,,2,-,-,1,-,1,-
1295.0,יאנוח ג'ת,עבירות נגד גוף,,90,15,17,14,19,8,17
1295.0,יאנוח ג'ת,עבירות סדר ציבורי,,221,38,36,28,35,49,35
1295.0,יאנוח ג'ת,עבירות רשוי,,4,2,1,-,-,-,1
1295.0,יאנוח ג'ת,עבירות תנועה,,3,-,1,-,-,2,-
46.0,יבנאל,Total,,1195,183,222,172,236,236,146
46.0,יבנאל,-,,2,-,1,1,-,-,-
46.0,יבנאל,סעיפי הגדרה,,1,-,1,-,-,-,-
46.0,יבנאל,עבירות בטחון,,24,7,8,3,2,1,3
46.0,יבנאל,עבירות כלכליות,,2,-,-,-,-,2,-
46.0,יבנאל,עבירות כלפי המוסר,,154,37,31,17,27,39,3
46.0,יבנאל,עבירות כלפי הרכוש,,539,80,107,64,108,103,77
46.0,יבנאל,עבירות מין,,20,6,4,3,3,2,2
46.0,יבנאל,עבירות מרמה,,15,-,1,2,4,3,5
46.0,יבנאל,עבירות נגד אדם,,4,1,2,-,1,-,-
46.0,יבנאל,עבירות נגד גוף,,242,29,49,42,53,46,23
46.0,יבנאל,עבירות סדר ציבורי,,441,61,73,73,80,90,64
46.0,יבנאל,עבירות רשוי,,4,-,-,1,3,-,-
46.0,יבנאל,עבירות תנועה,,5,-,2,-,2,1,-
2660.0,יבנה,Total,,8484,1258,1628,1580,1421,1349,1248
2660.0,יבנה,-,,20,5,1,5,3,2,4
2660.0,יבנה,סעיפי הגדרה,,25,1,6,4,6,2,6
2660.0,יבנה,עבירות בטחון,,48,11,8,14,6,3,6
2660.0,יבנה,עבירות כלכליות,,15,3,3,3,1,3,2
2660.0,יבנה,עבירות כלפי המוסר,,890,98,209,188,225,84,86
2660.0,יבנה,עבירות כלפי הרכוש,,3747,537,644,671,600,707,588
2660.0,יבנה,עבירות מין,,180,25,40,29,28,35,23
2660.0,יבנה,עבירות מנהליות,,2,1,-,1,-,-,-
2660.0,יבנה,עבירות מרמה,,412,66,85,76,77,42,66
2660.0,יבנה,עבירות נגד אדם,,16,4,5,4,1,2,-
2660.0,יבנה,עבירות נגד גוף,,1527,278,302,294,263,204,186
2660.0,יבנה,עבירות סדר ציבורי,,3054,525,646,574,437,443,429
2660.0,יבנה,עבירות רשוי,,27,4,6,7,6,1,3
2660.0,יבנה,עבירות תנועה,,28,6,9,5,4,1,3
2660.0,יבנה,שאר עבירות,,1,-,-,-,-,-,1
9400.0,יהוד מונוסון,Total,,4750,682,779,773,857,853,806
9400.0,יהוד מונוסון,-,,8,2,-,2,3,1,-
9400.0,יהוד מונוסון,סעיפי הגדרה,,5,-,1,1,-,2,1
9400.0,יהוד מונוסון,עבירות בטחון,,22,3,-,4,6,2,7
9400.0,יהוד מונוסון,עבירות כלכליות,,17,-,-,2,4,7,4
9400.0,יהוד מונוסון,עבירות כלפי המוסר,,314,67,81,64,36,31,35
9400.0,יהוד מונוסון,עבירות כלפי הרכוש,,2258,267,317,349,432,462,431
9400.0,יהוד מונוסון,עבירות מין,,107,23,23,8,19,18,16
9400.0,יהוד מונוסון,עבירות מנהליות,,2,2,-,-,-,-,-
9400.0,יהוד מונוסון,עבירות מרמה,,302,46,47,48,42,53,66
9400.0,יהוד מונוסון,עבירות נגד אדם,,6,2,-,1,-,-,3
9400.0,יהוד מונוסון,עבירות נגד גוף,,865,137,151,139,157,147,134
9400.0,יהוד מונוסון,עבירות סדר ציבורי,,1713,241,294,310,329,296,243
9400.0,יהוד מונוסון,עבירות רשוי,,17,5,3,2,1,1,5
9400.0,יהוד מונוסון,עבירות תנועה,,13,2,2,5,3,-,1
9400.0,יהוד מונוסון,שאר עבירות,,1,-,1,-,-,-,-
29.0,יסוד המעלה,Total,,352,51,54,61,61,53,72
29.0,יסוד המעלה,עבירות בטחון,,13,1,5,2,1,3,1
29.0,יסוד המעלה,עבירות כלכליות,,6,1,5,-,-,-,-
29.0,יסוד המעלה,עבירות כלפי המוסר,,132,13,9,21,18,28,43
29.0,יסוד המעלה,עבירות כלפי הרכוש,,134,25,25,23,27,16,18
29.0,יסוד המעלה,עבירות מין,,2,-,1,1,-,-,-
29.0,יסוד המעלה,עבירות מרמה,,26,6,12,4,2,1,1
29.0,יסוד המעלה,עבירות נגד גוף,,26,5,5,4,6,4,2
29.0,יסוד המעלה,עבירות סדר ציבורי,,66,7,14,17,11,8,9
29.0,יסוד המעלה,עבירות רשוי,,2,1,-,-,1,-,-
29.0,יסוד המעלה,עבירות תנועה,,4,1,1,1,1,-,-
499.0,יפיע,Total,,2506,425,398,379,459,455,390
499.0,יפיע,-,,2,-,1,1,-,-,-
499.0,יפיע,סעיפי הגדרה,,2,-,-,1,-,-,1
499.0,יפיע,עבירות בטחון,,149,25,36,23,26,23,16
499.0,יפיע,עבירות כלכליות,,7,2,-,2,-,1,2
499.0,יפיע,עבירות כלפי המוסר,,429,93,64,58,108,45,61
499.0,יפיע,עבירות כלפי הרכוש,,629,118,102,99,99,101,110
499.0,יפיע,עבירות מין,,20,4,2,7,2,3,2
499.0,יפיע,עבירות מנהליות,,3,-,3,-,-,-,-
499.0,יפיע,עבירות מרמה,,239,6,25,26,20,141,21
499.0,יפיע,עבירות נגד אדם,,13,2,6,2,1,-,2
499.0,יפיע,עבירות נגד גוף,,604,81,92,105,119,84,123
499.0,יפיע,עבירות סדר ציבורי,,1083,197,173,174,189,183,167
499.0,יפיע,עבירות רשוי,,14,-,4,6,1,2,1
499.0,יפיע,עבירות תנועה,,19,5,5,2,3,2,2
499.0,יפיע,שאר עבירות,,4,-,-,-,2,1,1
240.0,יקנעם עילית,Total,,3052,353,502,484,526,534,653
240.0,יקנעם עילית,-,,7,2,1,1,1,1,1
240.0,יקנעם עילית,סעיפי הגדרה,,3,-,-,-,1,1,1
240.0,יקנעם עילית,עבירות בטחון,,39,3,6,6,12,4,8
240.0,יקנעם עילית,עבירות כלכליות,,4,-,2,-,1,1,-
240.0,יקנעם עילית,עבירות כלפי המוסר,,485,80,103,94,83,49,76
240.0,יקנעם עילית,עבירות כלפי הרכוש,,1326,153,202,218,236,245,272
240.0,יקנעם עילית,עבירות מין,,61,11,15,8,5,11,11
240.0,יקנעם עילית,עבירות מנהליות,,1,-,1,-,-,-,-
240.0,יקנעם עילית,עבירות מרמה,,92,6,14,15,27,15,15
240.0,יקנעם עילית,עבירות נגד אדם,,5,-,3,1,-,-,1
240.0,יקנעם עילית,עבירות נגד גוף,,480,49,82,74,90,80,105
240.0,יקנעם עילית,עבירות סדר ציבורי,,1047,106,180,144,165,210,242
240.0,יקנעם עילית,עבירות רשוי,,6,-,-,-,2,1,3
240.0,יקנעם עילית,עבירות תנועה,,17,1,2,5,3,4,2
240.0,יקנעם עילית,שאר עבירות,,1,-,-,-,1,-,-
831.0,ירוחם,Total,,2325,373,451,423,365,365,348
831.0,ירוחם,-,,1,-,-,1,-,-,-
831.0,ירוחם,עבירות בטחון,,48,10,14,14,6,3,1
831.0,ירוחם,עבירות כלכליות,,2,-,-,-,-,1,1
831.0,ירוחם,עבירות כלפי המוסר,,248,67,54,40,39,22,26
831.0,ירוחם,עבירות כלפי הרכוש,,933,138,181,142,174,154,144
831.0,ירוחם,עבירות מין,,34,5,7,6,7,6,3
831.0,ירוחם,עבירות מרמה,,63,10,6,5,13,16,13
831.0,ירוחם,עבירות נגד אדם,,4,1,2,-,-,-,1
831.0,ירוחם,עבירות נגד גוף,,394,64,87,71,52,57,63
831.0,ירוחם,עבירות סדר ציבורי,,1043,148,184,215,146,182,168
831.0,ירוחם,עבירות רשוי,,24,3,4,8,3,6,-
831.0,ירוחם,עבירות תנועה,,8,1,4,2,-,1,-
831.0,ירוחם,שאר עבירות,,4,1,3,-,-,-,-
3000.0,ירושלים,Total,,182072,27009,30964,31108,28591,31191,33209
3000.0,ירושלים,-,,149,42,36,34,10,11,16
3000.0,ירושלים,סעיפי הגדרה,,244,35,38,46,47,45,33
3000.0,ירושלים,עבירות בטחון,,21668,1877,2617,3484,3188,5427,5075
3000.0,ירושלים,עבירות כלכליות,,387,66,117,65,41,63,35
3000.0,ירושלים,עבירות כלפי המוסר,,15513,2390,3395,3036,2465,2077,2150
3000.0,ירושלים,עבירות כלפי הרכוש,,68297,9809,11357,11478,10691,11663,13299
3000.0,ירושלים,עבירות מין,,3858,655,750,657,617,550,629
3000.0,ירושלים,עבירות מנהליות,,35,7,6,11,5,1,5
3000.0,ירושלים,עבירות מרמה,,10464,1695,1888,1703,1677,1669,1832
3000.0,ירושלים,עבירות נגד אדם,,522,82,74,72,98,107,89
3000.0,ירושלים,עבירות נגד גוף,,32093,5498,5946,5394,4963,4994,5298
3000.0,ירושלים,עבירות סדר ציבורי,,66838,11407,11912,11580,10416,10447,11076
3000.0,ירושלים,עבירות רשוי,,520,74,79,82,77,85,123
3000.0,ירושלים,עבירות תנועה,,854,128,174,160,113,144,135
3000.0,ירושלים,שאר עבירות,,164,33,35,32,17,17,30
502.0,ירכא,Total,,2106,442,372,364,319,330,279
502.0,ירכא,-,,1,1,-,-,-,-,-
502.0,ירכא,סעיפי הגדרה,,2,1,-,1,-,-,-
502.0,ירכא,עבירות בטחון,,51,17,5,14,5,4,6
502.0,ירכא,עבירות כלכליות,,2,-,1,-,1,-,-
502.0,ירכא,עבירות כלפי המוסר,,151,38,44,15,14,26,14
502.0,ירכא,עבירות כלפי הרכוש,,637,116,89,129,125,89,89
502.0,ירכא,עבירות מין,,13,4,1,1,2,2,3
502.0,ירכא,עבירות מרמה,,132,14,9,21,11,48,29
502.0,ירכא,עבירות נגד אדם,,6,-,4,1,-,-,1
502.0,ירכא,עבירות נגד גוף,,456,117,82,70,63,66,58
502.0,ירכא,עבירות סדר ציבורי,,1036,219,211,180,154,145,127
502.0,ירכא,עבירות רשוי,,14,3,1,-,5,1,4
502.0,ירכא,עבירות תנועה,,10,1,3,2,3,1,-
504.0,כאבול,Total,,1634,272,305,328,295,227,207
504.0,כאבול,-,,1,-,-,-,-,-,1
504.0,כאבול,סעיפי הגדרה,,1,-,-,-,-,1,-
504.0,כאבול,עבירות בטחון,,84,21,14,14,20,5,10
504.0,כאבול,עבירות כלכליות,,3,1,-,1,1,-,-
504.0,כאבול,עבירות כלפי המוסר,,217,21,57,70,32,25,12
504.0,כאבול,עבירות כלפי הרכוש,,469,95,91,64,84,71,64
504.0,כאבול,עבירות מין,,13,4,4,-,1,2,2
504.0,כאבול,עבירות מרמה,,56,7,6,14,8,16,5
504.0,כאבול,עבירות נגד אדם,,7,2,1,2,1,1,-
504.0,כאבול,עבירות נגד גוף,,387,58,68,72,70,50,69
504.0,כאבול,עבירות סדר ציבורי,,787,135,148,159,133,119,93
504.0,כאבול,עבירות רשוי,,16,4,4,3,5,-,-
504.0,כאבול,עבירות תנועה,,6,1,1,2,2,-,-
505.0,כאוכב אבו אל היגא,Total,,346,45,51,61,56,64,69
505.0,כאוכב אבו אל היגא,עבירות בטחון,,6,-,-,1,1,-,4
505.0,כאוכב אבו אל היגא,עבירות כלפי המוסר,,48,-,5,17,9,3,14
505.0,כאוכב אבו אל היגא,עבירות כלפי הרכוש,,96,15,15,17,6,22,21
505.0,כאוכב אבו אל היגא,עבירות מין,,1,-,-,-,1,-,-
505.0,כאוכב אבו אל היגא,עבירות מרמה,,8,1,-,2,3,1,1
505.0,כאוכב אבו אל היגא,עבירות נגד גוף,,90,14,16,14,20,16,10
505.0,כאוכב אבו אל היגא,עבירות סדר ציבורי,,163,26,27,20,29,36,25
1224.0,כוכב יאיר,Total,,1140,161,231,231,203,151,163
1224.0,כוכב יאיר,-,,1,-,1,-,-,-,-
1224.0,כוכב יאיר,סעיפי הגדרה,,3,-,2,-,1,-,-
1224.0,כוכב יאיר,עבירות בטחון,,13,1,3,1,2,4,2
1224.0,כוכב יאיר,עבירות כלכליות,,1,-,-,1,-,-,-
1224.0,כוכב יאיר,עבירות כלפי המוסר,,94,23,35,10,12,7,7
1224.0,כוכב יאיר,עבירות כלפי הרכוש,,679,82,148,137,122,88,102
1224.0,כוכב יאיר,עבירות מין,,32,3,4,10,8,5,2
1224.0,כוכב יאיר,עבירות מרמה,,93,13,13,18,21,14,14
1224.0,כוכב יאיר,עבירות נגד אדם,,1,1,-,-,-,-,-
1224.0,כוכב יאיר,עבירות נגד גוף,,103,18,16,24,16,18,11
1224.0,כוכב יאיר,עבירות סדר ציבורי,,252,43,39,50,40,39,41
1224.0,כוכב יאיר,עבירות רשוי,,3,-,-,-,-,-,3
1224.0,כוכב יאיר,עבירות תנועה,,4,-,-,3,-,1,-
1296.0,כיסרא סומיע,Total,,575,105,106,112,77,100,75
1296.0,כיסרא סומיע,-,,2,-,1,-,1,-,-
